Merged Data for Selected Target Ranges

Target Range: 108.57 nm
Trial 1 - Forward: Error: 75.67 nm, Time: 0.58 sec
Trial 1 - Backward: Error: -109.93 nm, Time: 0.45 sec
Trial 2 - Forward: Error: 66.37 nm, Time: 0.37 sec
Trial 2 - Backward: Error: 93.45 nm, Time: 0.26 sec
Trial 3 - Forward: Error: 69.40 nm, Time: 0.31 sec
Trial 3 - Backward: Error: -2.73 nm, Time: 0.32 sec
Trial 4 - Forward: Error: -10.49 nm, Time: 0.34 sec
Trial 4 - Backward: Error: -3.07 nm, Time: 0.42 sec
Trial 5 - Forward: Error: 15.33 nm, Time: 0.47 sec
Trial 5 - Backward: Error: 28.32 nm, Time: 0.65 sec
Trial 6 - Forward: Error: -19.98 nm, Time: 0.31 sec
Trial 6 - Backward: Error: -32.37 nm, Time: 0.31 sec
Trial 7 - Forward: Error: 33.51 nm, Time: 0.30 sec
Trial 7 - Backward: Error: -71.82 nm, Time: 0.29 sec
Trial 8 - Forward: Error: 57.59 nm, Time: 0.31 sec
Trial 8 - Backward: Error: 63.99 nm, Time: 0.64 sec
Trial 9 - Forward: Error: -30.18 nm, Time: 0.57 sec
Trial 9 - Backward: Error: 13.00 nm, Time: 0.61 sec
Trial 10 - Forward: Error: -57.89 nm, Time: 0.31 sec
Trial 10 - Backward: Error: -27.57 nm, Time: 0.32 sec
Trial 11 - Forward: Error: 16.31 nm, Time: 0.29 sec
Trial 11 - Backward: Error: -86.51 nm, Time: 0.30 sec
Trial 12 - Forward: Error: 15.53 nm, Time: 0.32 sec
Trial 12 - Backward: Error: -36.63 nm, Time: 0.63 sec
Trial 13 - Forward: Error: 55.49 nm, Time: 0.31 sec
Trial 13 - Backward: Error: -70.22 nm, Time: 0.76 sec
Trial 14 - Forward: Error: 87.83 nm, Time: 0.46 sec
Trial 14 - Backward: Error: 70.21 nm, Time: 0.36 sec
Trial 15 - Forward: Error: -46.52 nm, Time: 0.28 sec
Trial 15 - Backward: Error: -35.18 nm, Time: 0.61 sec
Trial 16 - Forward: Error: 25.59 nm, Time: 0.30 sec
Trial 16 - Backward: Error: -116.18 nm, Time: 0.28 sec
Trial 17 - Forward: Error: 81.18 nm, Time: 0.33 sec
Trial 17 - Backward: Error: -95.62 nm, Time: 0.33 sec
Trial 18 - Forward: Error: 65.70 nm, Time: 0.38 sec
Trial 18 - Backward: Error: 56.15 nm, Time: 0.52 sec
Trial 19 - Forward: Error: 24.03 nm, Time: 0.33 sec
Trial 19 - Backward: Error: -21.08 nm, Time: 0.32 sec
Trial 20 - Forward: Error: -2.27 nm, Time: 0.32 sec
Trial 20 - Backward: Error: -65.59 nm, Time: 0.58 sec
Trial 21 - Forward: Error: -14.70 nm, Time: 0.43 sec
Trial 21 - Backward: Error: 15.21 nm, Time: 0.50 sec
Trial 22 - Forward: Error: 593.43 nm, Time: 0.36 sec
Trial 22 - Backward: Error: 127.51 nm, Time: 0.26 sec
Trial 23 - Forward: Error: -76.38 nm, Time: 0.31 sec
Trial 23 - Backward: Error: -50.86 nm, Time: 0.33 sec
Trial 24 - Forward: Error: 0.41 nm, Time: 0.29 sec
Trial 24 - Backward: Error: 72.59 nm, Time: 0.30 sec
Trial 25 - Forward: Error: -32.99 nm, Time: 0.29 sec
Trial 25 - Backward: Error: 90.42 nm, Time: 0.32 sec
Trial 26 - Forward: Error: 4.73 nm, Time: 0.40 sec
Trial 26 - Backward: Error: -5.60 nm, Time: 0.54 sec
Trial 27 - Forward: Error: -39.04 nm, Time: 0.32 sec
Trial 27 - Backward: Error: -26.86 nm, Time: 0.32 sec
Trial 28 - Forward: Error: -44.79 nm, Time: 0.30 sec
Trial 28 - Backward: Error: 12.76 nm, Time: 0.31 sec
Trial 29 - Forward: Error: -26.65 nm, Time: 0.29 sec
Trial 29 - Backward: Error: 15.99 nm, Time: 0.32 sec
Trial 30 - Forward: Error: 10.17 nm, Time: 0.61 sec
Trial 30 - Backward: Error: -14.68 nm, Time: 0.36 sec
Trial 31 - Forward: Error: 81.55 nm, Time: 0.20 sec
Trial 31 - Backward: Error: -60.28 nm, Time: 0.32 sec
Trial 32 - Forward: Error: 113.93 nm, Time: 0.32 sec
Trial 32 - Backward: Error: -108.40 nm, Time: 0.70 sec
Trial 33 - Forward: Error: 52.02 nm, Time: 0.53 sec
Trial 33 - Backward: Error: -51.01 nm, Time: 0.30 sec
Trial 34 - Forward: Error: 38.71 nm, Time: 0.31 sec
Trial 34 - Backward: Error: 11.88 nm, Time: 0.30 sec
Trial 35 - Forward: Error: 43.01 nm, Time: 0.31 sec
Trial 35 - Backward: Error: -82.15 nm, Time: 0.30 sec
Trial 36 - Forward: Error: 53.17 nm, Time: 0.33 sec
Trial 36 - Backward: Error: -34.15 nm, Time: 0.59 sec
Trial 37 - Forward: Error: 20.38 nm, Time: 0.42 sec
Trial 37 - Backward: Error: -28.65 nm, Time: 0.54 sec
Trial 38 - Forward: Error: 68.77 nm, Time: 0.30 sec
Trial 38 - Backward: Error: -7.97 nm, Time: 0.27 sec
Trial 39 - Forward: Error: 27.81 nm, Time: 0.34 sec
Trial 39 - Backward: Error: -46.10 nm, Time: 0.30 sec
Trial 40 - Forward: Error: 29.55 nm, Time: 0.31 sec
Trial 40 - Backward: Error: -68.75 nm, Time: 0.40 sec
Trial 41 - Forward: Error: 86.51 nm, Time: 0.25 sec
Trial 41 - Backward: Error: -38.51 nm, Time: 0.31 sec
Trial 42 - Forward: Error: -20.99 nm, Time: 0.30 sec
Trial 42 - Backward: Error: -95.40 nm, Time: 0.34 sec
Trial 43 - Forward: Error: 94.64 nm, Time: 0.57 sec
Trial 43 - Backward: Error: -29.05 nm, Time: 0.32 sec
Trial 44 - Forward: Error: 45.66 nm, Time: 0.46 sec
Trial 44 - Backward: Error: -10.54 nm, Time: 0.48 sec
Trial 45 - Forward: Error: 38.27 nm, Time: 0.33 sec
Trial 45 - Backward: Error: 160.90 nm, Time: 0.31 sec
Trial 46 - Forward: Error: -27.40 nm, Time: 0.33 sec
Trial 46 - Backward: Error: 37.82 nm, Time: 0.29 sec
Trial 47 - Forward: Error: 30.45 nm, Time: 0.30 sec
Trial 47 - Backward: Error: 40.72 nm, Time: 0.32 sec
Trial 48 - Forward: Error: -65.96 nm, Time: 0.59 sec
Trial 48 - Backward: Error: 2.13 nm, Time: 0.60 sec
Trial 49 - Forward: Error: -46.86 nm, Time: 0.31 sec
Trial 49 - Backward: Error: 32.80 nm, Time: 0.61 sec
Trial 50 - Forward: Error: -27.31 nm, Time: 0.32 sec
Trial 50 - Backward: Error: -75.13 nm, Time: 0.32 sec
Trial 51 - Forward: Error: -16.89 nm, Time: 0.33 sec
Trial 51 - Backward: Error: -78.55 nm, Time: 0.29 sec
Trial 52 - Forward: Error: -15.27 nm, Time: 0.30 sec
Trial 52 - Backward: Error: -9.67 nm, Time: 0.33 sec
Trial 53 - Forward: Error: 48.22 nm, Time: 0.41 sec
Trial 53 - Backward: Error: -46.11 nm, Time: 0.53 sec
Trial 54 - Forward: Error: -21.62 nm, Time: 0.30 sec
Trial 54 - Backward: Error: -29.78 nm, Time: 0.32 sec
Trial 55 - Forward: Error: 41.93 nm, Time: 0.31 sec
Trial 55 - Backward: Error: -43.52 nm, Time: 0.29 sec
Trial 56 - Forward: Error: 71.90 nm, Time: 0.32 sec
Trial 56 - Backward: Error: -239.95 nm, Time: 0.38 sec
Trial 57 - Forward: Error: 37.15 nm, Time: 0.51 sec
Trial 57 - Backward: Error: -76.40 nm, Time: 0.40 sec
Trial 58 - Forward: Error: 8.95 nm, Time: 0.54 sec
Trial 58 - Backward: Error: -53.77 nm, Time: 0.63 sec
Trial 59 - Forward: Error: 37.62 nm, Time: 0.32 sec
Trial 59 - Backward: Error: -2.20 nm, Time: 0.59 sec
Trial 60 - Forward: Error: 39.48 nm, Time: 0.37 sec
Trial 60 - Backward: Error: 9.95 nm, Time: 0.27 sec
Trial 61 - Forward: Error: -24.63 nm, Time: 0.53 sec
Trial 61 - Backward: Error: -69.29 nm, Time: 0.28 sec
Trial 62 - Forward: Error: 62.94 nm, Time: 0.29 sec
Trial 62 - Backward: Error: -16.11 nm, Time: 0.50 sec
Trial 63 - Forward: Error: 35.11 nm, Time: 0.43 sec
